species;density;Q factor;Young modulus;sound radiation coefficient
;kg/m3;;Gpa;
spruce;467,7;188;14,9;12,1
spruce;432,8;188,9;13;12,7
spruce;428,7;212;13,8;13,2
spruce;415,7;177,2;11,7;12,8
spruce;422,4;195,6;13,1;13,2
spruce;428,9;191,6;13,1;12,9
spruce;428,9;186;11,8;12,2
spruce;424,5;186;12,9;13
spruce;420,5;188,6;12,5;13
spruce;458,4;180,9;13,3;11,7
spruce;442,1;173;14,5;13
spruce;427,4;175,1;11;11,9
spruce;443,9;193,8;13,2;12,3
spruce;476,4;211,4;15,8;12,1
spruce;448,4;204,1;13,5;12,2
spruce;398,4;177,2;10,8;13,1
spruce;458,6;193,5;13,9;12
spruce;438,6;166,1;13,2;12,5
spruce;425,6;170,5;11,5;12,2
spruce;425,6;181,5;14,4;13,6
spruce;494,2;179,6;13,2;10,5
spruce;431;158,7;11,6;12
spruce;402,4;166,4;11,9;13,5
spruce;402,4;125;9,5;12,1
spruce;354,6;136,1;9,2;14,4
spruce;425;161,9;11,9;12,4
spruce;465,6;151,2;11,4;10,6
spruce;338,4;138,3;8,3;14,7
spruce;464,5;164,6;12,6;11,2
spruce;420,2;162,7;11,9;12,7
spruce;431,8;166,3;12,2;12,3
spruce;499,3;174,1;16,8;11,6
spruce;442,5;164,3;12,9;12,2
spruce;390,7;136;8,7;12,1
spruce;420,8;137,2;11,8;12,6
spruce;379,8;162,4;10,2;13,7
spruce;359,1;156,7;10;14,7
spruce;415,5;154,6;10,8;12,2
spruce;343,5;138,5;8,5;14,5
spruce;415,6;163;11,1;12,4
spruce;412,9;158;10,7;12,3
spruce;416,2;149,5;11;12,4
spruce;451;154,3;14,4;12,5
spruce;349,3;135,5;8,9;14,5
cedar;333,1;143,1;7,2;13,9
cedar;362,2;133,6;6;11,2
cedar;307,9;151,5;5,1;13,2
cedar;298,7;125,7;4,9;13,5
cedar;351,7;150,7;6,4;12,1
cedar;367,9;120,5;5,4;10,4
cedar;357,6;138,6;13,5;17,2
cedar;332,6;111,3;5,3;12
cedar;342,9;96,8;5,3;11,5
cedar;373,8;204,8;8,2;12,5
cedar;360,3;105,2;5,4;10,8
cedar;358,4;111,8;5,9;11,3
cedar;375,7;151,2;5,7;10,3
cedar;363,1;93,9;6;11,2
cedar;306,5;147,2;5,3;13,6
cedar;295,6;94,3;4,1;12,6
cedar;338,4;132,8;9;15,2
cedar;367,8;215,2;7,4;12,2
cedar;332;242,9;6,7;13,6
cedar;359,3;216,5;4,2;9,5
cedar;308,7;184;4,7;12,7
cedar;334,5;180,9;6,4;13,1
